SourceFile,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20220926_113707_Jl.-Sulaiman-daud-0+250.JPG,20220926_113707_Jl.-Sulaiman-daud-0+250.JPG,2022:09:26 11:37:07,"5 deg 32' 45.98"" N, 95 deg 19' 21.53"" E","Jl. Sulaiman daud
0+250"
D:/Data/20220926_113718_Jl.-Sulaiman-daud-0+300.JPG,20220926_113718_Jl.-Sulaiman-daud-0+300.JPG,2022:09:26 11:37:18,"5 deg 32' 45.83"" N, 95 deg 19' 22.76"" E","Jl. Sulaiman daud
0+300"
D:/Data/20220926_113739_Jl.-Sulaiman-daud-0+370.JPG,20220926_113739_Jl.-Sulaiman-daud-0+370.JPG,2022:09:26 11:37:39,"5 deg 32' 45.68"" N, 95 deg 19' 24.69"" E","Jl. Sulaiman daud
0+370"
D:/Data/20220926_114021_Jl.-Abu-syeh-saman-0+000.JPG,20220926_114021_Jl.-Abu-syeh-saman-0+000.JPG,2022:09:26 11:40:21,"5 deg 32' 58.07"" N, 95 deg 19' 26.50"" E","Jl. Abu syeh saman
0+000"
D:/Data/20220926_114048_Jl.-Abu-syeh-saman-0+050.JPG,20220926_114048_Jl.-Abu-syeh-saman-0+050.JPG,2022:09:26 11:40:48,"5 deg 32' 58.44"" N, 95 deg 19' 24.33"" E","Jl. Abu syeh saman
0+050"
D:/Data/20220926_114118_Jl.-Abu-syeh-saman-0+100.JPG,20220926_114118_Jl.-Abu-syeh-saman-0+100.JPG,2022:09:26 11:41:18,"5 deg 32' 58.49"" N, 95 deg 19' 23.56"" E","Jl. Abu syeh saman
0+100"
D:/Data/20220926_114154_Jl.-Abu-syeh-saman-0+150.JPG,20220926_114154_Jl.-Abu-syeh-saman-0+150.JPG,2022:09:26 11:41:54,"5 deg 32' 58.69"" N, 95 deg 19' 22.57"" E","Jl. Abu syeh saman
0+150"
D:/Data/20220926_114302_Jl.-Abu-syeh-saman-0+200.JPG,20220926_114302_Jl.-Abu-syeh-saman-0+200.JPG,2022:09:26 11:43:02,"5 deg 32' 58.33"" N, 95 deg 19' 21.12"" E","Jl. Abu syeh saman
0+200"
D:/Data/20220926_114316_Jl.-Abu-syeh-saman-0+250.JPG,20220926_114316_Jl.-Abu-syeh-saman-0+250.JPG,2022:09:26 11:43:16,"5 deg 32' 59.05"" N, 95 deg 19' 20.18"" E","Jl. Abu syeh saman
0+250"
D:/Data/20220926_114331_Jl.-Abu-syeh-saman-0+300.JPG,20220926_114331_Jl.-Abu-syeh-saman-0+300.JPG,2022:09:26 11:43:31,"5 deg 32' 58.88"" N, 95 deg 19' 18.43"" E","Jl. Abu syeh saman
0+300"
D:/Data/20220926_114358_Jl.-Abu-syeh-saman-0+350.JPG,20220926_114358_Jl.-Abu-syeh-saman-0+350.JPG,2022:09:26 11:43:58,"5 deg 32' 59.01"" N, 95 deg 19' 15.90"" E","Jl. Abu syeh saman
0+350"
D:/Data/20220926_114413_Jl.-Abu-syeh-saman-0+400.JPG,20220926_114413_Jl.-Abu-syeh-saman-0+400.JPG,2022:09:26 11:44:13,"5 deg 32' 59.04"" N, 95 deg 19' 15.65"" E","Jl. Abu syeh saman
0+400"
D:/Data/20220926_114429_Jl.-Abu-syeh-saman-0+450.JPG,20220926_114429_Jl.-Abu-syeh-saman-0+450.JPG,2022:09:26 11:44:29,"5 deg 33' 1.25"" N, 95 deg 19' 15.35"" E","Jl. Abu syeh saman
0+450"
D:/Data/20220926_114445_Jl.-Abu-syeh-saman-0+500.JPG,20220926_114445_Jl.-Abu-syeh-saman-0+500.JPG,2022:09:26 11:44:45,"5 deg 33' 2.38"" N, 95 deg 19' 15.10"" E","Jl. Abu syeh saman
0+500"
D:/Data/20220926_114516_Jl.-Abu-syeh-saman-0+550.JPG,20220926_114516_Jl.-Abu-syeh-saman-0+550.JPG,2022:09:26 11:45:16,"5 deg 33' 2.69"" N, 95 deg 19' 14.63"" E","Jl. Abu syeh saman
0+550"
D:/Data/20220926_114909_Jl.-Japakeh-0+000.JPG,20220926_114909_Jl.-Japakeh-0+000.JPG,2022:09:26 11:49:09,"5 deg 32' 50.87"" N, 95 deg 19' 11.23"" E","Jl. Japakeh
0+000"
D:/Data/20220926_114921_Jl.-Japakeh-0+050.JPG,20220926_114921_Jl.-Japakeh-0+050.JPG,2022:09:26 11:49:21,"5 deg 32' 48.57"" N, 95 deg 19' 10.68"" E","Jl. Japakeh
0+050"
D:/Data/20220926_114942_Jl.-Japakeh-0+145.JPG,20220926_114942_Jl.-Japakeh-0+145.JPG,2022:09:26 11:49:42,"5 deg 32' 45.73"" N, 95 deg 19' 10.46"" E","Jl. Japakeh
0+145"
D:/Data/20220926_115216_Jl.-Utama-0+000.JPG,20220926_115216_Jl.-Utama-0+000.JPG,2022:09:26 11:52:16,"5 deg 32' 36.07"" N, 95 deg 19' 16.58"" E","Jl. Utama
0+000"
D:/Data/20220926_115233_Jl.-Utama-0+050.JPG,20220926_115233_Jl.-Utama-0+050.JPG,2022:09:26 11:52:33,"5 deg 32' 38.18"" N, 95 deg 19' 16.81"" E","Jl. Utama
0+050"
D:/Data/20220926_115246_Jl.-Utama-0+100.JPG,20220926_115246_Jl.-Utama-0+100.JPG,2022:09:26 11:52:46,"5 deg 32' 39.59"" N, 95 deg 19' 16.97"" E","Jl. Utama
0+100"
D:/Data/20220926_115307_Jl.-Utama-0+150.JPG,20220926_115307_Jl.-Utama-0+150.JPG,2022:09:26 11:53:07,"5 deg 32' 40.96"" N, 95 deg 19' 16.81"" E","Jl. Utama
0+150"
D:/Data/20220926_115328_Jl.-Utama-0+200.JPG,20220926_115328_Jl.-Utama-0+200.JPG,2022:09:26 11:53:28,"5 deg 32' 41.11"" N, 95 deg 19' 15.71"" E","Jl. Utama
0+200"
D:/Data/20220926_115342_Jl.-Utama-0+250.JPG,20220926_115342_Jl.-Utama-0+250.JPG,2022:09:26 11:53:42,"5 deg 32' 41.64"" N, 95 deg 19' 13.90"" E","Jl. Utama
0+250"
D:/Data/20220926_115401_Jl.-Utama-0+290.JPG,20220926_115401_Jl.-Utama-0+290.JPG,2022:09:26 11:54:01,"5 deg 32' 41.80"" N, 95 deg 19' 12.88"" E","Jl. Utama
0+290"
D:/Data/20220926_115756_Jl.-Nyak-ada-kamil-l-0+000.JPG,20220926_115756_Jl.-Nyak-ada-kamil-l-0+000.JPG,2022:09:26 11:57:56,"5 deg 32' 47.03"" N, 95 deg 19' 1.18"" E","Jl. Nyak ada kamil l
0+000"
D:/Data/20220926_115810_Jl.-Nyak-ada-kamil-l-0+050.JPG,20220926_115810_Jl.-Nyak-ada-kamil-l-0+050.JPG,2022:09:26 11:58:10,"5 deg 32' 45.79"" N, 95 deg 19' 3.51"" E","Jl. Nyak ada kamil l
0+050"
D:/Data/20220926_115820_Jl.-Nyak-ada-kamil-l-0+100.JPG,20220926_115820_Jl.-Nyak-ada-kamil-l-0+100.JPG,2022:09:26 11:58:20,"5 deg 32' 45.64"" N, 95 deg 19' 5.00"" E","Jl. Nyak ada kamil l
0+100"
D:/Data/20220926_115830_Jl.-Nyak-ada-kamil-l-0+200.JPG,20220926_115830_Jl.-Nyak-ada-kamil-l-0+200.JPG,2022:09:26 11:58:30,"5 deg 32' 45.59"" N, 95 deg 19' 6.12"" E","Jl. Nyak ada kamil l
0+200"
